,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_usd,employee_residence,remote_ratio,company_location,company_size,salary_category,job_category,continent,salary_usd_ppp
0,2025,Executive,Full-time,Head of Data,348516,USD,348516,US,0,US,M,High,Data Leadership,North America,348516.0
1,2025,Executive,Full-time,Head of Data,232344,USD,232344,US,0,US,M,High,Data Leadership,North America,232344.0
2,2025,Senior,Full-time,Data Scientist,145400,USD,145400,US,0,US,M,High,Data Scientist,North America,145400.0
3,2025,Senior,Full-time,Data Scientist,81600,USD,81600,US,0,US,M,Medium,Data Scientist,North America,81600.0
6,2025,Senior,Full-time,AI Product Lead,175000,USD,175000,US,100,US,M,High,Data Leadership,North America,175000.0
7,2025,Senior,Full-time,AI Product Lead,152900,USD,152900,US,100,US,M,High,Data Leadership,North America,152900.0
8,2025,Senior,Full-time,AI Engineer,97900,USD,97900,US,100,US,M,Medium,ML/AI Engineer,North America,97900.0
9,2025,Senior,Full-time,AI Engineer,89900,USD,89900,US,100,US,M,Medium,ML/AI Engineer,North America,89900.0
10,2025,Senior,Full-time,Business Intelligence Engineer,180500,USD,180500,US,0,US,M,High,Analytics/BI,North America,180500.0
11,2025,Senior,Full-time,Business Intelligence Engineer,113000,USD,113000,US,0,US,M,High,Analytics/BI,North America,113000.0
20,2025,Senior,Full-time,Computer Vision Engineer,250000,USD,250000,US,0,US,M,High,Other data role,North America,250000.0
21,2025,Senior,Full-time,Computer Vision Engineer,220000,USD,220000,US,0,US,M,High,Other data role,North America,220000.0
22,2025,Mid,Full-time,AI Engineer,200000,USD,200000,US,0,US,M,High,ML/AI Engineer,North America,200000.0
23,2025,Mid,Full-time,AI Engineer,145000,USD,145000,US,0,US,M,High,ML/AI Engineer,North America,145000.0
24,2025,Mid,Full-time,AI Engineer,265000,USD,265000,US,100,US,M,High,ML/AI Engineer,North America,265000.0
25,2025,Mid,Full-time,AI Engineer,175000,USD,175000,US,100,US,M,High,ML/AI Engineer,North America,175000.0
26,2025,Executive,Full-time,Data Management,219800,USD,219800,US,100,US,M,High,Data Governance/Specialist,North America,219800.0
27,2025,Executive,Full-time,Data Management,179500,USD,179500,US,100,US,M,High,Data Governance/Specialist,North America,179500.0
30,2025,Senior,Full-time,Data Engineer,200000,USD,200000,US,100,US,M,High,Data Engineer,North America,200000.0
31,2025,Senior,Full-time,Data Engineer,106200,USD,106200,US,100,US,M,High,Data Engineer,North America,106200.0
32,2025,Senior,Full-time,Data Engineer,195300,USD,195300,US,0,US,M,High,Data Engineer,North America,195300.0
33,2025,Senior,Full-time,Data Engineer,149000,USD,149000,US,0,US,M,High,Data Engineer,North America,149000.0
34,2025,Mid,Full-time,Data Engineer,183300,USD,183300,US,100,US,M,High,Data Engineer,North America,183300.0
35,2025,Mid,Full-time,Data Engineer,117000,USD,117000,US,100,US,M,High,Data Engineer,North America,117000.0
36,2025,Senior,Full-time,Data Engineer,213850,USD,213850,US,100,US,M,High,Data Engineer,North America,213850.0
37,2025,Senior,Full-time,Data Engineer,136800,USD,136800,US,100,US,M,High,Data Engineer,North America,136800.0
38,2025,Senior,Full-time,Data Engineer,146550,USD,146550,US,0,US,M,High,Data Engineer,North America,146550.0
39,2025,Senior,Full-time,Data Engineer,101200,USD,101200,US,0,US,M,High,Data Engineer,North America,101200.0
40,2025,Senior,Full-time,Data Engineer,200700,USD,200700,US,0,US,M,High,Data Engineer,North America,200700.0
41,2025,Senior,Full-time,Data Engineer,175800,USD,175800,US,0,US,M,High,Data Engineer,North America,175800.0
42,2025,Executive,Full-time,Data Engineer,275000,USD,275000,US,0,US,M,High,Data Engineer,North America,275000.0
43,2025,Executive,Full-time,Data Engineer,195000,USD,195000,US,0,US,M,High,Data Engineer,North America,195000.0
44,2025,Senior,Full-time,Data Engineer,155000,USD,155000,US,100,US,M,High,Data Engineer,North America,155000.0
45,2025,Senior,Full-time,Data Engineer,93000,USD,93000,US,100,US,M,Medium,Data Engineer,North America,93000.0
50,2025,Senior,Full-time,Machine Learning Engineer,223000,USD,223000,US,0,US,M,High,ML/AI Engineer,North America,223000.0
51,2025,Senior,Full-time,Machine Learning Engineer,191000,USD,191000,US,0,US,M,High,ML/AI Engineer,North America,191000.0
52,2025,Senior,Full-time,Machine Learning Engineer,210000,USD,210000,US,100,US,M,High,ML/AI Engineer,North America,210000.0
53,2025,Senior,Full-time,Machine Learning Engineer,106200,USD,106200,US,100,US,M,High,ML/AI Engineer,North America,106200.0
58,2025,Mid,Full-time,Machine Learning Engineer,150250,USD,150250,US,0,US,M,High,ML/AI Engineer,North America,150250.0
59,2025,Mid,Full-time,Machine Learning Engineer,120000,USD,120000,US,0,US,M,High,ML/AI Engineer,North America,120000.0
60,2025,Mid,Full-time,Machine Learning Engineer,175000,USD,175000,US,100,US,M,High,ML/AI Engineer,North America,175000.0
61,2025,Mid,Full-time,Machine Learning Engineer,130000,USD,130000,US,100,US,M,High,ML/AI Engineer,North America,130000.0
62,2025,Senior,Full-time,Machine Learning Engineer,331200,USD,331200,US,0,US,M,High,ML/AI Engineer,North America,331200.0
63,2025,Senior,Full-time,Machine Learning Engineer,163000,USD,163000,US,0,US,M,High,ML/AI Engineer,North America,163000.0
64,2025,Senior,Full-time,Machine Learning Engineer,240000,USD,240000,US,100,US,M,High,ML/AI Engineer,North America,240000.0
65,2025,Senior,Full-time,Machine Learning Engineer,200000,USD,200000,US,100,US,M,High,ML/AI Engineer,North America,200000.0
